queuedTaskID,sb_id,processName,failedStep,errorCode,dateCreated,retryCount,dateLastRetry,recordProcessed,dateProcessed,description
86,96848,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
87,97034,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
88,98415,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
89,99712,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
90,99756,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
91,100031,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
92,100676,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
93,101848,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
94,101881,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
95,101902,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
96,102628,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
97,104909,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
98,105145,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
99,105335,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
100,105889,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
101,105933,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
102,105952,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
103,108322,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
104,108380,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
105,108667,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
106,108871,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
107,109073,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
108,109135,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
109,109517,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
110,109627,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
111,111485,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
112,113355,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
113,113752,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
114,114321,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
115,115102,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
116,116136,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
117,116164,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
118,119638,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
119,119835,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
120,120586,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
121,122211,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
122,122348,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
123,123122,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
124,123739,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
125,124132,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
126,124400,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
127,124424,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
